"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2096687,"August 21, 2021",Illinois,Chicago,"3500 block of W Walnut St",0,4,N/A
2095800,"August 20, 2021",Michigan,Flint,"2905 Saginaw St",1,3,N/A
2095116,"August 19, 2021",Illinois,Chicago,"300 block of E 47th St",0,4,N/A
2095087,"August 19, 2021",Pennsylvania,Philadelphia,"5100 block of Germantown Ave",1,4,N/A
2095394,"August 19, 2021",Maryland,Edgewood,"1700 block of Crimson Tree Way",1,3,N/A
2094421,"August 18, 2021",Maryland,Germantown,"19575 Scenery Dr",1,3,N/A
2094071,"August 18, 2021",Ohio,Youngstown,"619 Samuel Ave",2,4,N/A
2094035,"August 18, 2021",California,"Los Angeles","W Jefferson Blvd and Culver Blvd",0,4,N/A
2094457,"August 18, 2021","North Carolina",Durham,"Ridgeway Ave and Wabash St",1,3,N/A
2093581,"August 17, 2021","New York",Brooklyn,"422 Mother Gaston Blvd",0,5,N/A
2092469,"August 16, 2021","New York",Brooklyn,"927 DeKalb Ave",0,8,N/A
2092227,"August 16, 2021",Michigan,Detroit,"4421 Central Ave",1,3,N/A
2091489,"August 15, 2021",Illinois,Chicago,"1300 block of E 75th St",0,4,N/A
2091597,"August 15, 2021",Texas,"San Antonio","1621 S New Braunfels Ave",3,2,N/A
2091531,"August 14, 2021",Indiana,Indianapolis,"Wheeler St and E 28th St",1,3,N/A
2090949,"August 14, 2021","New York",Brooklyn,"Lexington Ave and Marcy Ave",0,4,N/A
2090971,"August 14, 2021",Ohio,Akron,"271 Maiden Ln",0,5,N/A
2090777,"August 14, 2021",Indiana,Indianapolis,"Lafayette Rd and W 38th St",1,4,N/A
2090924,"August 14, 2021","New Jersey",Trenton,"875 New Willow St",0,4,N/A
2092110,"August 14, 2021",Texas,"Wichita Falls","2406 Sheppard Access Rd",0,4,N/A
2089972,"August 13, 2021",Nevada,"Las Vegas","3100 block of E Sunset Rd",1,6,N/A
2088659,"August 11, 2021",Pennsylvania,Philadelphia,"5500 Rising Sun Ave",1,4,N/A
2087433,"August 10, 2021",Oregon,Portland,"NE Milton St",2,4,N/A
2089557,"August 10, 2021",Mississippi,Clarksdale,N/A,2,2,N/A
2086236,"August 9, 2021",Michigan,Flint,"3201 Hammerberg Rd",2,4,N/A
2086148,"August 9, 2021",Massachusetts,Boston,"27 Irma St",1,5,N/A
2085396,"August 8, 2021","New York",Brooklyn,"101 Wortman Ave",3,2,N/A
2085401,"August 8, 2021",Illinois,Chicago,"8300 block of S Halsted St",1,4,N/A
2085489,"August 8, 2021",Texas,Houston,"2504 FM 1960 Rd E",1,5,N/A
2085438,"August 8, 2021","District of Columbia",Washington,"3600 block of New York Ave NE",0,4,N/A
2085388,"August 8, 2021",Illinois,Chicago,"1800 block of W 87th St",1,6,N/A
2085542,"August 8, 2021",Louisiana,"New Orleans","700 block of Bourbon St",0,5,N/A
