"","Incident ID","Incident Date","State","City Or County","Address","# Killed","# Injured","Operations"
"1",272186,"December 30, 2014","District of Columbia","Washington","5393 Chillum Pl NE",0,1,"N/A"
"2",272183,"December 30, 2014","District of Columbia","Washington","3500 block of Stanton Rd SE",0,1,"N/A"
"3",270934,"December 29, 2014","District of Columbia","Washington","600 block of Division Ave NE",1,0,"N/A"
"4",272181,"December 29, 2014","District of Columbia","Washington","4920 Nannie Helen Burroughs Ave NE",0,1,"N/A"
"5",270346,"December 28, 2014","District of Columbia","Washington","50 block of Galveston St SW",0,3,"N/A"
"6",270936,"December 28, 2014","District of Columbia","Washington","1300 block of Southern Ave SE",2,0,"N/A"
"7",270132,"December 27, 2014","District of Columbia","Washington","1st St SE and Atlantic St SE",0,1,"N/A"
"8",270137,"December 27, 2014","District of Columbia","Washington","1500 block of Kenilworth Ave NE",0,1,"N/A"
"9",270946,"December 27, 2014","District of Columbia","Washington","325 Franklin St NE",0,1,"N/A"
"10",269240,"December 26, 2014","District of Columbia","Washington","28 Hanover Place NW",0,1,"N/A"
"11",269300,"December 26, 2014","District of Columbia","Washington","13th St NW and Gallatin St NW",0,1,"N/A"
"12",270135,"December 26, 2014","District of Columbia","Washington","1500 block of Kenilworth Ave NE",0,1,"N/A"
"13",269247,"December 26, 2014","District of Columbia","Washington","First St NW",0,1,"N/A"
"14",1435423,"December 25, 2014","District of Columbia","Washington","63 Galveston Pl SW",0,1,"N/A"
"15",269274,"December 24, 2014","District of Columbia","Washington","2200 block of 16th St NE",0,1,"N/A"
"16",268557,"December 24, 2014","District of Columbia","Washington","30th St SE and Naylor Rd SE",1,0,"N/A"
"17",269294,"December 24, 2014","District of Columbia","Washington","1600 block of Maryland Ave NE",1,0,"N/A"
"18",268574,"December 24, 2014","District of Columbia","Washington","2600 block of Sherman Ave NW",1,0,"N/A"
"19",268569,"December 24, 2014","District of Columbia","Washington","1200 block of Stevens Rd SE",1,0,"N/A"
"20",268567,"December 24, 2014","District of Columbia","Washington","3910 14th St NW",1,0,"N/A"
"21",269725,"December 24, 2014","District of Columbia","Washington","2800 block of Alabama Ave SE",1,0,"N/A"
"22",268565,"December 24, 2014","District of Columbia","Washington","2209 15th St NE",0,1,"N/A"
"23",268579,"December 24, 2014","District of Columbia","Washington","845 Bladensburg Rd NE",1,0,"N/A"
"24",268383,"December 23, 2014","District of Columbia","Washington","600 block of 44th St NE",0,1,"N/A"
"25",268380,"December 23, 2014","District of Columbia","Washington","1200 block of Ingraham St NW",0,1,"N/A"
"26",268372,"December 23, 2014","District of Columbia","Washington","50 block of N St SW",0,1,"N/A"
"27",268374,"December 23, 2014","District of Columbia","Washington","900 block of Delafield Pl NW",1,0,"N/A"
"28",268388,"December 22, 2014","District of Columbia","Washington","400 block of 18th St NE",0,1,"N/A"
"29",267900,"December 21, 2014","District of Columbia","Washington","1700 block of Stanton Terrace SE",0,1,"N/A"
"30",266640,"December 20, 2014","District of Columbia","Washington","600 block of Morton St NW",0,1,"N/A"
"31",266149,"December 19, 2014","District of Columbia","Washington","5600 block of East Capitol St NE",0,1,"N/A"
"32",265953,"December 19, 2014","District of Columbia","Washington","724 24th St NE",0,1,"N/A"
"33",268391,"December 18, 2014","District of Columbia","Washington","3700 block of New Hampshire Ave NW",0,1,"N/A"
"34",265880,"December 18, 2014","District of Columbia","Washington","3800 block of Georgia Ave NW",0,1,"N/A"
"35",265436,"December 17, 2014","District of Columbia","Washington","100 block of Atlantic St SE",0,1,"N/A"
"36",264912,"December 16, 2014","District of Columbia","Washington","4600 block of MLK Jr Ave SW",0,1,"N/A"
"37",1435428,"December 16, 2014","District of Columbia","Washington","Anacostia Ave SE and Ponds St NE",0,1,"N/A"
"38",476195,"December 31, 2015","District of Columbia","Washington","3000 block of Stanton Rd SE",0,1,"N/A"
"39",476192,"December 30, 2015","District of Columbia","Washington","Polk and Olive Street NE",0,0,"N/A"
